"A acocote nuevo, tlachiquero viejo."
Cuando San Juan baje el dedo o cuando baile el jarabe.
"Cuando se acaba el curado, conformarse con el blanco."
"Cuando se mueve el alcalde, no se mueve de balde."
"Cuando seas yunque, resiste, cuando seas mazo, golpea."
"Cuando son tantas las limosnas, hasta los santos se alborotan."
"Cuando te dieren el anillo, pon el dedillo."
"Cuando te ofrezcan la vaquilla, acude con la soguilla."
"Cuando te quieren te vas, cuando te aborrecen vienes."
"Cuando tocan a correr, no hay más que apretar talones."
"Cuando tocan a fregar, no hay más que poner los trastes."
"Cuando todo se hierve, te pueden dar gato por liebre."
"Cuando todos son albañiles, ¿quién les dará la mezcla?."
"Cuando todos te dicen que eres burro, ¡Rebuzna!."
"Cuando tres o más personas marchan juntas, debe uno mandar."
Cuando tú vas yo ya vengo.
"Cuando tú vas por la leche, yo ya vengo con los quesos."
"Cuando tuerce la puerca el rabo, los cochinitos la trompa."
"Cuando un abogado se aloca; ""pierde el juicio"""
"Cuando un gallo canta en la madrugada, puede que llueva mucho,..."
...puede que llueva poco o puede que no llueva nada.
"Cuando una mujer necesita ser guardada, ¡No lo merece!."
"Cuando una puerta se cierra, ciento se abren."
"Cuando una rama se seca, otra está reverdeciendo."
"Cuando uno está de malas, hasta los perros lo mean."
"Cuando veas arañas en el suelo, habrá nubes en el cielo."
"Cuando veas el iris en el poniente, ¡Suelta la yunta y vete!."
"Cuando veas las barbas de tu vecino cortar, pon las tuyas a remojar."
"Cuando veas un pela'o con cara de gente buena, ¡es bueno!;"
"con cara de pendejo, ¡es pendejo!; con cara de hijo de la chingada,..."
"...¡es hijo de la chingada! y con cara de sinvergüenza, ¡no le prestes!."
"Cuando vivía el infeliz,¡Si se fundiera!."
"y hoy que ya está en el veliz, ¡Que bueno era!."
"Cuando ya me sabía la respuesta, me cambiaron la pregunta."
"Cuando yo tenía dinero, me llamaban Don Tomás,..."
"ahora que nada tengo me llaman Tomás, nomás."
"Cuando yunque, sufre; cuando mazo, tunde."
Cuantas veces sollozando se está riendo una mujer.
"Cuanto más alto es el hombre, más fácilmente se humilla."
"Cuanto más alto volamos, nos duele más la caída."
"Cuanto más grande es la cabeza, mayor es la jaqueca."
Cuanto mayor es la fortuna es menos segura.
"Cuánto me gusta lo negro, aunque me espante el difunto!"
"Cuantos menos bultos, mas claridad."
"Cuatro caras tiene la luna, la mujer cuarenta y una."
"Cuatromuchos y cuatropocos que hacen al hombre gordo, tonto o loco:"
"mucho comer y poco correr, mucho gastar y poco ganar"
"mucho hablar y poco saber y por fin, mucho presumir y poco valer."
"Cuatro palabras traen revuelto al mundo: Yo, tu, mío y tuyo."
"Cuchillito de palo, no corta, pero como friega. (..como chinga.)"
Cuéntale tus penas a quien te las pueda remediar.
"Cuentas claras, amistades largas."
Cuentas de beato y uñas de gato.
Cuerpo de tentación y cara de arrepentimiento.
"Cuervos vienen, carne hay."
"Cuesta caro tirar el maíz a las palomas, por la codicia de pillar un pichón."
Cuesta mas cara la gorra que un sombrero galoneado.
Cuesta más caro el caldo que las albóndigas.
"Cuesta más guardarlo, que ganarlo."
Cuida de la recaída que es peor que la enfermedad.
"Cuídame de mis amigos, que de mis enemigos me cuido yo."
"Cuídate de indio barbón y de gachupín lampiño,..."
...de hombre con voz de mujer y de mujer con voz de niño.
Cuídate de las aguas mansas.
Cuídate de los buenos que los malos yo te los señalaré.
"Cuídate de los toros por delante, de las mulas por detrás..."
"...y de los perros por todos lados, pero de políticos, curas y..."
"...abogados, cuídate por delante, por atrás y por todos lados."
Cuídate del nuevo amigo y del viejo enemigo.
Cuiden su casa y dejen la ajena.
"Culito que quiere cuero, solito lo anda buscando."
"Curva que se endereza, es recta."
Da Dios lagañas a quien no tiene pestañas.
Da Dios narices a quien no tiene pañuelo.
Da más y recibirás menos.
Da el consejo y se queda sin el.
Dad al Cesar lo que es del Cesar y a Dios lo que es de Dios.
Dad al Cesar lo que es del Cesar y adiós Mariquita linda.
"Dádivas, quebrantan penas."
"Dado, rogado, puesto en la puerta y arrempujado."
"Dale limosna mujer, que no hay nada peor en el mundo..."
...que ser un ciego en Granada.
Dame pan y dame vino y seré buen amigo.
Dame pan y llámame can.
Dan más donde conocen menos.
Dan pan con cordonazo.
"Dar para recibir, no es dar, es pedir."
Das la mano y te agarran el pie.
"Date a desear y olerás a azahar, déjate ver a cada rato..."
...y olerás a caca de gato.
Date a deseo y olerás a poléo.
"De amor y amor, sólo amor."
De arriero a arriero. el dinero nunca pesa.
De bajada hasta las calabazas ruedan.
De buenas intenciones está empedrado el camino del infierno.
De casta le viene al galgo el ser rabilargo.
De ciertas mariposas no deben coger tus redes.
"De Cristo a Cristo, el más apolillado se raja. (De cruz a cruz, la más...)"
De cuando amarraban a los perros con longaniza...y no se la comían.
"De cuantos bienes Dios envía, más estima la alegría."
"De dinero y calidad, la mitad y la mitad."
"¿De donde le viene a Bartolo el ""mee""?, si su padre no era borrego."
"De dos que se quieren bien, con uno que coma basta."
"De esas, mi galgo las pesca."
"De ese pelo, sólo San Juan fue bueno."
De esos hombres no paren todas las yeguas.
De esos hombres no se dan en todos los surcos.
De esos que comen miel; libre Dios nuestros panales.
De esos quiere Dios: de los arrepentidos.
De español a gachupín hay un abismo sin fin.
"De esta me saque Dios, que en otra yo no me meto."
"De fray fué, nunca me fié."
De fuera vendrá quien de tu casa te echará.
De golosos y tragones están llenos los panteones.
De grano en grano se llena la gallina el buche.
"De Guanajuato, ni el polvo."
De la abundancia del corazón habla la boca.
De la cabeza viene la buena salud.
"De la casa ajena, el bocado más sabroso."
De la gallina más vieja resulta el mejor caldo.
"De la mar el mero, de la tierra el cordero."
"De la mar el salmón, de la tierra el jamón."
"De la misa, no sabe ni la media."
De la moda lo que acomoda.
De la subida más alta lastiman más las caídas.
De la suerte y de la muerte no escapa el débil ni el fuerte.
"De la suerte y de la muerte, no hay quien se escape."
De la vista nace el amor.
"De las deudas, lo mejor es no tenerlas."
De las rodillas pa'bajo todo son corvas.
"De las vidas arrastradas, la del coche es la mejor."
"De lejos parece tonto, de cerca ni duda cabe."
De limpios y tragones están llenos los panteones.
De lo ajeno me vestí y en cueros me vi.
"De lo bueno, poco."
"De lo perdido, lo que aparezca."
"De lo perdido, lo que caiga es bueno."
De lo que el diablo empeñó y no sacó.
"De lo que siente el corazón, la boca lo habla."
"De lo que veas cree muy poco, de lo que te cuenten, nada."
"De los aires por la espalda, sólo el que sale es bueno."
De los arrepentidos se sirve Dios.
"De los caballos, el que puntee; y de los puercos, el que colee."
"De los cuarenta p'arriba, no te mojes la barriga."
De los escarmentados nacen los avisados.
"De los males, el menor."
"De los monos que pasan un río, el último siempre se ahoga."
"De los parientes y el sol mientras más lejos, mejor."
"De los curas y el sol mientras más lejos, mejor."
"De los que ponen patitas y manitas, líbrete Dios."
"De los que te has de librar, Dios te los ha de marcar."
De los retozos nacen los mocosos.
"De los tordillos, el más completo es el tordillo de cuero prieto."
"De mala cepa, mal racimo."
De mejores lugares me han corrido... y con peores modos.
"De mis amigos me cuide Dios, que de mis enemigos me cuido yo."
"De mozo rezongador, nunca buena labor."
De mucha cruz en el pecho y de puro diablo en los hechos.
"De mucho rascarse, llaga se hace."
"De músico, poeta y loco, todos tenemos un poco."
"De noche, no cambies camino real por vereda."
De noche todos los gatos son pardos.
De pared a pared todo es colchón.
"De padres gatos, hijos ratones."
"De Peñuelas, ni los huelas."
"De poquito en poquito, se llena el jarrito."
"De prisa viene el mal, pero cojeando se va."
"De puerta abierta, perro gusgo y mujer descuidada, líbrenos Dios."
"De que dan en que el perro tiene rabia, hasta que lo matan a palos."
"De que Dios dice ""a fregar"", del cielo caen las escobetas."
"De que el año es bueno, hasta los pastores paren."
"De que el año viene bueno, como quiera que esté el surco."
"De que el año viene bueno, hasta los troncos secos retoñan."
De que el arriero es malo le echa la culpa al burro.
"De que el cuchillo es malo, le echan la culpa al herrero."
"De que el escribiente es malo, le echa la culpa a la pluma."
De que el gallo se sacude en medio del árbol canta.
"De que el músico es malo, le echa la culpa al instrumento."
De que hace aire hasta la basura sube.
"De que la burra es pedorra, aunque la carguen de santos."
"De que la desgracia llega, se trae a sus cuatitas."
"De que la madre es de paso, la hija hasta el cincho azota."
"De que la mula es juilona, aunque la dejen maneada."
"De que la mula se amacha, no hay espuelas que la muevan."
"De que la partera es mala, le echa la culpa al culo."
"De que la perra es brava, hasta los de casa muerde."
"De que los hay, los hay, el trabajo es encontrarlos."
De que se lo coman los gusanos; mejor que lo gocen los humanos.
"De que se muera tu abuelita a que me muera yo,..."
"...mejor tu abuelita, que está más vieja que yo."
"¿De qué tengo las manos verdes?, sino de agarrar pericos."
De que tocan a llover no hay más que abrir el paraguas.
De refranes y cantares tiene el pueblo por millares.
"De refranes y leyes, los primeros son reyes sin ser donjuanes."
"De rocín, a ruin."
"De ruin mano, ruin dado."
"De sol de tarde, Dios me guarde."
"De tal jarro, tal tepalcate."
"De tal palo, tal astilla."
"De tal palo, tal chichón."
"De tal padre, tal hijo."
"De todo gran rezador, ¡defiéndeme, gran señor!."
"De todo inútil afán, los libros te librarán."
"De tonto me muero este año, sabiendo que el que entra es bueno."
"De tus hijos sólo esperes, lo que a tus padres hicieres."
De un gran mal siempre queda la señal.
"De verde claro a amarillo, va poquillo."
"De viejo y del enterrador, nadie se salva, ni Don Nabor."
"Debajo de la manta, ni la hermosa asombra, ni la fea espanta."
"Debajo de la manta, tal es la negra como la blanca."
"Debajo de la miel, hay hiel."
Debajo de las hilachas no faltan animalitos.
"Debajo de una mala capa, puede haber un buen bebedor."
"Debajo del agua mansa, esta la peor corriente."
"Debajo del cotón, tostón, debajo de levita, nadita."
"Debajo del manto, otras cosas esconde el santo."
Debajo del sombrero se esconde la caspa.
"Debo, no niego, pago, no tengo."
Decir mal de las cartas y jugar a dos barajas.
Deja al terco que le encuentre mangas al chaleco.
"Deja el vicio del cigarro, que es mejor que chupes puro."
Deja que pasen los patos que ya llegará la nuestra.
Deja quieta el agua turbia y se hará clara.
Deja tu vicio por un mes y el te dejará por tres.
"Dejad hacer, dejad pasar."
Déjalas que batan l'agua que ansina la han de beber.
"Déjalas que corcoveen, que ya agarrarán su paso."
"Déjalas que vuelen alto, que echándoles maiz se apean."
"Dejar de comer por haber comido, no hay nada perdido."
"Dejar el camino por el atajo, es añadir trabajo."
Deje usted que el niño nazca y él dirá quien es su padre.
"Déjele el diente al ratón, pa'que se lo vuelva de oro."
"Del agua mansa me libre Dios, que de la brava me guardaré yo."
"Del agua vertida, nunca toda recogida."
"Del amigo ausente, como si estuviera presente."
Del amor al odio solo hay un paso.
Del árbol caído todos quieren hacer leña.
"Del borracho que hace alarde de valiente, se ríe la gente."
Del bozal bueno o malo; el ronzal en la mano.
Del cielo a la tierra no hay nada oculto.
"Del dátil, hasta la palma."
Del dicho al hecho hay mucho trecho.
"Del gran amor, viene el gran error."
"Del hombre bruto, ningún fruto."
"Del hilo no sé nada, la que cose es Mariquita."
"Del hombre poderoso, estar siempre receloso."
"Del lunes al martes, pocas son las artes."
Del mismo cuero salen las correas.
"Del mal que huyes, de ese mueres."
"Del odio al amor hay un paso, dalo y verás que trancazo."
"Del pan de mi compadre, buen pedazo a mi ahijado."
Del plato a la boca a veces se cae la sopa.
"Del rayo se salva uno; pero de la raya, no."
"Del viejo, el consejo."
"Delante de los muchachos, persinarse bien y no equivocarse."
Demasiados cocineros echan a perder el caldo.
Depende el sapo es la pedrada.
"Desayuna como rey, come como marqués y cena como mendigo."
"Desconfía de tu amigo, como de tu peor enemigo."
Desde a leguas se conoce la vaca que ha de dar leche.
¿Desde cuando los patos le tiran a las escopetas?.
"Desde lejos lo parecen, de cerca, ni duda cabe."
Desde lejos se conoce al pájaro que es canario. (...que es calandria.)
Desde lejos se miran los toros.
"Desde levante al poniente, de la mujer seas pariente."
"Desde que dejé de dar, he conseguido."
"Desde que se inventaron las disculpas, se acabaron los tarugos."
Desentendido del gasto y celoso de la honra.
"Desgraciado el gallinero donde la gallina canta, y el gallo cacaraquea."
Desnudos nacimos y todo nos parece poco para vestirnos.
"Despacio, que llevo prisa."
"Despacito y buena letra, dice el maestro que aprieta."
"Después de aporreado, apaleado."
Después de cada misterio hay que tirar un cuetito.
"Después de comer miel, nada sabe bien."
"Después de comer, ni un sobre escrito leer."
"Después de conejo ido, pedradas al matorral."
"Después de dulce, vino, borracho fino."
"Después de la lluvia, sale el sol."
"Después de la tormenta, viene la calma. (...de la tempestad, )"
"Después de las nueve, dale a lo que se mueve."
Después de mi; el diluvio.
"Después de un buen servicio, un mal pago."
"Después de un buen taco, un buen tabaco."
"Después del error, viene el hit."
"Después del niño ahogado, el pozo tapado."
"Después del rayo, Jesús mil veces."
"Después del retozo, el retoño."
Detrás de la cruz está el diablo.
Detrás de un gran hombre siempre hay una gran mujer.
Detrás de una gran mujer siempre hay muchos hombres.
"Detrás de un gran hombre siempre hay una gran mujer,..."
"...pero detrás de una gran mujer,..."
...siempre hay un pequeño hombre que la ha querido detener.
Detrás de un gran hombre siempre hay una gran mujer...
"... y en medio, una esposa."
"Deudas de juego, son deudas de honor."
Di mentira y sacarás verdad.
"D'ial tiro las tronchan verdes, no las dejan madurar."
"Días de mucho, vísperas de nada."
Díceme amante y no me digas tío.
"Díceme trece, trece, el rabo te reverdece."
¡Díceme y díceme y nada que me tumba!.
"Dicen que el buey habló y que solo dijo ""muuuu""."
"Dicen que el cielo es tu cara, pero yo digo que no,..."
...un sol nomás tiene el cielo y tu cara tiene dos.
"Dicen que los viejos mueren por la comida o por la caída,..."
...ande pues con tiento el viejo y modere la comida.
"Dices lo que sabes, pero no sabes lo que dices."
Diga mi vecina y tenga mi costal de harina.
Dile que es hermosa y pídele cualquier cosa.
Dile que no estoy y no andes diciendo mentiras.
Dime con quien andas y te diré quien eres.
Dime con quien vives y te diré que recibes.
Dime cuanto tienes y te diré cuánto vales.
Dime de que presumes y te diré de que careces.
Dime que comes y te diré quien eres.
Dime que sueñas y te diré quien eres.
Dinero llama a dinero.
"Dinero mal prestado, en lomo de venado."
"Dinero, seso y fe, no se ve."
Dineros de sacristán; cantando se vienen y cantando se van.
Dios nos manda el alimento y el diablo lo guisa.
Dios aprieta pero no ahorca.
"Dios aprieta, pero no afloja."
"Dios ayuda a los malos, cuando son más que los buenos."
Dios bendice al inocente.
Dios castiga a los malos pero no a palos.
"Dios castiga, pero da de comer."
Dios castiga sin palo ni cuarta.
Dios conserve a mi patrón; por temor a otro peor.
"Dios creó a la mujer, sabiendo que podía hacer algo mejor."
Dios cura pero cobra el médico.
Dios da el frío según la cobija.
"Dios da, pero no acarrea."
Dios desavenga a quien nos mantenga.
Dios dijo; Ayúdate que yo te ayudaré.
"Dios dijo: ya me voy y ahí los dejo,"
...para que el más vivo viva del más pendejo.
Dios dio la vida y el diablo la movida.
Dios habla por el que calla.
Dios hace renglones derechos con palabras torcidas.
"Dios hizo a Adán y a Eva, no a Adán y a Esteban."
Dios los cría y ellos se juntan.
Dios los hace y el diablo los junta.
Dios me ayuda pero yo la riego.
"Dios me de contienda, con quien me entienda."
Dios me ponga donde haiga y lo demás a mi cuenta caiga.
"Dios mío, asústame pero no me castigues."
"Dios mío, Dios mío, dame lo mío, para no ver lo ajeno."
Dios no le puso alas a los alacranes.
Dios no les da alas a las alimañas.
Dios nos guarde de perro atado y de hombre determinado.
"Dios nos hizo agujerados, para no morir reventados."
Dios nos libre de palo de ciego y bofetada de zurdo.
Dios nos libre del chiflón de calleja y del amor de una vieja.
Dios nos libre del perro que no ladra y del hombre que no habla.
Dios protege a los inocentes y les afila los dientes.
"Dios que da la llaga, da la medicina."
"Dios tarda, pero no olvida."
Dios te dé salud y gozo y casa con corral y pozo.
Dios te libre del palo de ciego.
Dios te libre del indio con mando y del español a caballo.
Dios y tus dineros son amigos verdaderos.
Diosito no cumple antojos ni endereza jorobados.
Disfruta hoy; es más tarde de lo que crees.
Divide y vencerás.
"Dolor de mujer muerta, dura hasta la puerta."
"¿Doncellas?, lo sabe Dios y ellas."
"Donde come uno comen dos, pero cuesta el doble."
"Donde comen dos comen tres, si hay comida para cuatro."
"Donde el amor no puede, llega el dinero y vence."
"Donde el diablo mete la mano, mete la punta del rabo."
"Donde entra el hambre, sale el amor."
"Donde entra el sol, no entra doctor."
"Donde hay amor, hay dolor."
"Donde hay amor no hay temor, donde hay temor no hay amor."
"Donde hay celos hay amor, donde hay viejos hay dolor."
"Donde hay chile ancho, ni la mujer replica."
"Donde hay dolencia, hay paciencia."
"Donde hay gana, hay maña."
"Donde hay humo, hay fuego."
"Donde hay juncos, hay agua junto."
"Donde hay miedo, ni coraje da."
"Donde hubo fuego, cenizas quedan."
"Donde la haces, no donde naces. (Donde paces,...)"
"Donde las dan, las doblan."
"Donde las dan, las toman."
"Donde lloran, ahí está el muerto."
"Donde lumbre ha habido, rescoldo queda."
"Donde manda capitán, no gobierna marinero."
"Donde manda el caporal, no gobiernan los vaqueros."
"Donde menos se piensa, salta la liebre."
"Donde muere el perro, ahí se acabó la rabia."
"Donde no hay cabellos, mal es de peinar."
"Donde no hay harina, hay muina."
"Donde no hay humo, no hay lumbre."
"Donde no hay nidito, no hay pajarito."
"Donde no hay trompadas, no hay cariño."
"Donde no hay voluntad, no hay fuerza."
"Donde no valen cuñas, se aprovechan uñas."
"Donde piensa que hay carne, ni garabato se encuentra."
"Donde pone el ojo, pone la bala."
"Donde pones el pie, ni la mala yerba crece."
Donde quiera lavo y plancho y en cualquier mecate tiendo.
Donde quiera lavo y plancho y suelo coser ajeno.
Donde quiera se encuentra el puerquito se le suelta el mecatito.
"Donde reina la pereza, no hay aseo ni limpieza."
"Donde se conoce al burro, ahí se agarra."
"Donde se saca y no se mete, pronto el fondo se halla."
"Donde tiene el tesoro el avariento, tiene el entendimiento."
"Donde todo falta, Dios asiste."
Donde va más hondo el río hace menos ruido.
Donde vuela el gavilán no aletea la paloma.
"Donde yeguas hay, nacen potros."
Dos agujas no se pueden punzar.
Dos alesnas no se pican.
Dos cabezas piensan más que una.
Dos cueteros no se huelen.
Dos cosas no se pueden acabar; el saber y el agua del mar.
"Dos gallos en un mismo corral, terminan mal."
"Dos hambrientos a un pan, mal trato le dan."
Dos perros pueden matar a un león.
Doyle por ella a tus pies mil besos en recompensa...
"...sin que parezca delito, pues quien da y besa, no peca."
Duele el castigo; pero es buen amigo.
Duele más el cuero que la camisa.
"Dueño que mucho mira, poco hila."
Echa otra sardina que otro ruin viene.
"Échale copal al santo, aunque le jumeen las barbas."
Échale jocoque al padre y palos al sacristán.
Echando a perder se aprende.
"Echar por el atajo, no siempre ahorra trabajo."
"Échate a enfermar, verás quién te quiere bien, verás quién te quiere mal."
"Échate ese trompo a la uña, mientras que te bailo el otro."
Échate firulais que vendrás cansado.
"Échenle jocoque al cura, que también sabe almorzar."
"Échenle sal, échenle sal, al animal, ¿Quién te pico?,..."
...que hasta el dedo me dolió.
Edificar sobre arena no es labor buena.
"El abad de lo que canta, yanta."
El agua como buey y el vino como rey.
"El agua es para los bueyes, el vino para los hombres."
El agua solo crea ranas; el alcohol te da más ganas.
El agua y la mujer a nada deben de oler.
El aguardiente es como el agua bendita:...
lo mismo sirve para un bautizo que para un entierro.
El águila no caza moscas.
El albur del matrimonio solo los tarugos lo juegan.
"El alma a Dios, el cuerpo a la tierra y la ropa a quien le venga."
El amo imprudente hace al mozo negligente.
"El amor cuando es sincero, se encuentra, lo mismo,..."
...en las torres de un castillo que en el asiento de atrás.
"El amor de los pobres es como el espinazo de puerco,..."
...pelado pero sabroso
"El amor dura, lo que te dura dura."
El amor es ciego.
El amor es como el frío: al más perdido lo carga.
El amor es como los pasteles; que recalentados no sirven.
"El amor es como los testamentos, el último es el que vale."
"El amor es un ""si"" sostenido; dijo el músico."
"El amor es una cosa esplendorosa, hasta que te cacha tu esposa."
El amor lo vence todo. (todo lo puede.)
El amor no es como lo pintan.
"El amor no se hace, ¡Nace!."
El amor para que dure debe ser disimulado.
El amor se alimenta de ilusiones.
El amor y el dinero no pueden estar escondidos:...
...el amor por que se ve y el dinero porque suena.
El amor y el interés se fueron al campo un día y...
...más pudo el interés que el amor que le tenía.
El amor y los celos son hermanos gemelos.
El año bueno el grano es heno; el año malo la paja es grano.
"El árbol más altanero, débil tallo fue primero."
"El arriero, en donde conoce la mula, ahí la quita."
"El arte es largo, la vida breve."
El asesino siempre vuelve al lugar del crimen.
El asno solo en la muerte halla descanso.
El auto en la puerta y el pollo a la cazuela.
El ave canta aunque la rama cruja; como que sabe lo que son sus alas.
"El ayuno quebrantar, al ir las doce a dar."
"El bien cundo es más querido, más pronto se ve perdido."
El buen caballo de los ladridos no hace caso.
El buen gallo dondequiera canta.
El buen instrumento saca maestro.
El buen juez por su casa empieza.
"El buen músico, con una cuerda toca."
"El buen saber es callar, hasta ser tiempo de hablar."
El buen vino alegra el corazón del hombre.
"El buen vino, no ha de menester ramo."
El buey más manso nos da la mejor patada.
El buey para arar nació y el ave para volar.
"El buey solo, bien se lame."
"El burro no era arriero, lo hicieron."
El burro no es tan bestia como lo piensa el que lo piensa.
El burro y el majadero siempre se cuentan primero.
El caballo conoce por la brida al que lo conduce.
"El caballo de silla, poco comido y bastante coludo."
"El caballo, en la sierra, no llega a burro."
"El caballo es como el amigo, si lo fastidias, te tumba."
"El caballo que no raya, que se vaya."
"El caballo que no raya, que se vaya..."
"...y el que no jala de puntas, pa'las yuntas."
"El caballo y la mujer, al ojo se han de tener."
"El caballo y la mujer, de pecho y de anca se han de escoger."
El caballo y la mujer a nadie se han de prestar.
"El caldo en caliente, la injuria en frío."
El calenturiento anhela por el agua.
El camino recto es el más corto.
"El caracolillo que muchas veces atraviesa el camino,..."
...alguna vez queda allí pisado por los caminantes.
"El carbón que ha sido braza, fácilmente vuelve a arder."
El casado casa quiere.
"El cebo es el que engaña, no la caña."
El césped del vecino siempre es más verde.
"El chisme agrada, el chismoso enfada."
El chisme es de las mujeres la fama y de los hombre la profesión.
"El chiste no es comer mucho, sino hacer la digestión."
El chiste no es ser hermosa sino saber presumir.
El chiste no está en ser cuzca sino en saberlo menear.
"El chiste no está en tenerlo, sino en saberlo gastar."
El ciego no ve; pero tienta.
"El clavo que sobresale, recibe los martillazos"
El comal le dijo a la olla.
"El comer da muerte a muchos, el hambre casi a ninguno."
El consejo de la mujer es poco y el que no lo toma es loco.
"El corazón es un niño, espera lo que desea."
"El corazón esta en Dios, la mano donde se pueda."
"El corazón no envejece, el cuero es el que se arruga."
"El dar es honor; el pedir, dolor."
"El dar y el tener, seso han menester."
El deber y no pagar es tan antiguo como el mear.
"El diablo las sabe hacer, pero no las sabe tapar."
El dicho señor Don Dicho ha dicho que he dicho...
"...un dicho que he dicho yo,"
El diente de cabra menos come que daña.
"El diente miente, la cana engaña, la arruga deja la duda y..."
"...y el pelo en la oreja, ni duda deja."
El dinero del pobre dos veces se gasta.
El dinero Dios lo da y los indios lo trabajan.
"El dinero es buen servidor, pero como amo no lo hay peor."
El dinero es el mejor caballero.
"El dinero hace contar, la alegría hace cantar."
"El dinero no es Dios, pero hace milagros."
"El dinero no es la felicidad, pero es lo que más se le parece."
"El dinero se va y viene, pero el tiempo ido no vuelve."
El dinero y el amor no admiten encubridor.
El dinero y la cárcel ablandan más que el cebo.
"El dinero y la fama, de quien los gana."
El duelo del lobo es la fiesta del zorro.
El enemigo de la novia nunca habla bien de la boda.
El exceso de cera mete fuego a la iglesia.
El éxito no es una donación sino conquista.
"El favor con pregonero, ni lo pido ni lo quiero."
El fin justifica los medios.
El final es lo que cuenta.
El flojo trabaja el doble.
El flojo y el mezquino andan dos veces el camino.
El fondo de la taza sólo la cuchara lo conoce.
El fracaso es la clave del éxito.
"El fraile que pide pan, carne toma si le dan."
El frecuente uso lleva al peor abuso.
El freno a la yegua al diente y a la mula hasta la frente.
El gallo más grande es el que más recio canta.
El gato Mari Ramos halaga con la cola y araña con las manos.
"El gavilán viejo no chilla, nomás se arruga y encoge el ala."
"El golpe de la sartén, aunque no duele, tizna."
"El hábito no hace al monje, pero lo mejora. (pero lo viste)"
"El hablar a todos bien y darles buena respuesta,..."
... mucho vale y nada cuesta.
El hablar mucho y el mentir son parientes.
"El hambre es cabrona, pero más el que la aguanta."
"El hambre es la buena, no la comida."
El hambre es un fuego y la comida es fresca.
El hambre lo tumba y el orgullo lo levanta.
El hambre no es buena consejera.
El hijo ausente no ve la muerte de su padre.
El hijo de la gata ratones mata.
El hilo se rompe por lo más delgado.
"El hombre como el oso; mientras mas feo, más hermoso."
"El hombre debe ser feo, fuerte y formal."
El hombre es como el gallo: se sacude y ya.
El hombre es el lobo del hombre.
El hombre es el más cruel enemigo del hombre.
El hombre es el único animal que hace daño a su pareja.
"El hombre es fuego, la mujer estopa, llega el diablo y sopla."
El hombre es libre de la puerta para afuera.
El hombre es solo un dios en ruinas.
"El hombre es tan necesariamente loco,..."
"...que sería una forma de serlo, no estarlo."
El hombre ha de ser porfiado aunque le digan que no.
El hombre hace y Dios deshace.
"El hombre nació para trabajar, como el ave para volar."
El hombre no ha de ser de dichos sino de hechos.
"El hombre propone, Dios dispone, viene el diablo y todo lo descompone."
"El hombre propone, Dios dispone, y la mujer descompone."
"El hombre que es comelón, desde lejos se conoce."
El hombre que es jodido a cualquier mujer engaña.
"El hombre que es maricón, desde su cuna comienza."
El hombre que sabe pronto sobresale.
"El hombre que vacila está perdido, también lo está,..."
...la mujer que no vacila.
El hombre quisiera ser ostión para dormir siempre en su concha.
"El hombre tiene tres mujeres en la vida, con la que se casa, con la..."
...que hubiera querido casarse y con la que debería haberse casado.
El hombre y el diablo no tienen ni cómo ni cuándo.
"El horno caliente, con poca leña cuece."
"El humo, la mujer y la gotera, echan al hombre de su casa fuera."
El infierno está lleno de buenas intenciones.
"El inteligente hace que las cosas pasen, al tonto, solo le pasan."
"El interés, tiene pies."
"El invierno que más dura, buen verano nos augura."
"El labrador al cielo, el comerciante al suelo."
El ladrón cree que todos son de su condición.
El león cree que todos son de su condición.
El león no es tan fiero como lo pintan.
"El libro bueno se vende despacio, y aprisa el malo."
"El lobo cambia de pelo, no de mañas."
"El lobo, si es callado, por sesudo es reputado."
El loco por la pena es cuerdo.
El lugar que ocupe es lo que distingue al hombre.
El llanto sobre el difunto.
"El llanto sobre las siembras, olvido de cabañuelas."
El lloro de la mujer no es de creer.
"El marido y la basura, mientras más rápido a la calle, mejor."
"El mal del milano, las alas quebradas y el pico sano."
El mal escribano le echa la culpa a la pluma.
El mal que salió de mi boca voló hasta tu corazón.
El mandado no es culpado.
El más amigo es traidor y el más verídico miente.
El más lento en prometer es siempre el más seguro en cumplir.
El matrimonio es como un baño de agua fría en tiempo de frío;...
"...métete de un chingadazo, porque si lo piensas mucho, no le entras."
El matrimonio es el mejor de todos los males.
El médico mozo y el boticario cojo.
"El médico que bien cura, finado el paciente lo deja sin calentura."
"El médico que es capaz de diagnosticar, es capaz también de curar."
El mejor amigo del hombre es el perro.
"El mejor amigo, un libro."
El mejor caballo necesita espuelas.
El mejor consejo es el del viejo.
El mejor escribano echa un borrón.
El mejor gobierno es el que se nota menos.
El mejor jinete por las orejas se apea.
El mejor sombrero es el que sirve para descubrirse ante usted.
"El miedo es como la sangre, por todas las venas corre."
El miedo es un maestro muy infiel.
El miedo no anda en burro.
¡El milagro de San Bruno; dos animales en uno!.
El momento más oscuro es antes de amanecer.
El mono nunca ve su rabo.
El muchacho malcriado donde quiera encuentra padre.
El mucho comer acarrea el poco.
El mucho incienso tizna al santo.
El muerto a la sepultura y el vivo a la travesura.
El muerto al cajón y el vivo al fiestón.
El muerto al hoyo y el vivo al bollo.
El muerto al pozo y el vivo al gozo.
El muerto se hace pesado cuando siente que lo cargan
El muerto y el arrimado al tercer día apestan.
